Registered Voters,Ballots Cast,Turnout,
"1,497,292","1,105,998",73.87%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
8,637,533,83.67%
9,673,573,85.14%
10,722,540,74.79%
11,749,600,80.11%
12,811,583,71.89%
13,699,561,80.26%
14,815,549,67.36%
15,846,619,73.17%
16,713,503,70.55%
17,796,571,71.73%
18,306,230,75.16%
19,863,628,72.77%
20,824,601,72.94%
21,835,614,73.53%
22,747,573,76.71%
23,756,601,79.50%
24,664,559,84.19%
25,944,708,75.00%
26,925,638,68.97%
27,737,560,75.98%
Total,"20,337","15,459",76.01%
,,,
Ward 34,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,795,643,80.88%
2,559,399,71.38%
3,787,592,75.22%
4,954,658,68.97%
5,676,548,81.07%
6,390,303,77.69%
7,739,564,76.32%
8,756,529,69.97%
9,615,478,77.72%
10,650,481,74.00%
11,602,462,76.74%
12,755,581,76.95%
13,786,596,75.83%
14,566,474,83.75%
15,640,460,71.88%
16,604,476,78.81%
17,663,452,68.17%
18,496,345,69.56%
19,147,118,80.27%
20,829,628,75.75%
21,564,440,78.01%
22,696,503,72.27%
23,632,448,70.89%
24,635,503,79.21%
25,669,524,78.33%
26,547,396,72.39%
27,658,462,70.21%
28,463,359,77.54%
29,614,451,73.45%
30,675,524,77.63%
31,448,330,73.66%
32,362,271,74.86%
33,323,260,80.50%
34,672,524,77.98%
35,668,562,84.13%
36,703,507,72.12%
37,669,492,73.54%
38,637,457,71.74%
39,787,446,56.67%
40,683,535,78.33%
41,531,343,64.60%
42,729,554,75.99%
43,784,627,79.97%
44,655,504,76.95%
45,689,494,71.70%
46,604,480,79.47%
47,400,316,79.00%
48,694,567,81.70%
49,753,626,83.13%
50,633,481,75.99%
51,881,704,79.91%
52,606,432,71.29%
53,664,455,68.52%
54,588,455,77.38%
55,706,534,75.64%
56,391,276,70.59%
57,742,576,77.63%
58,613,450,73.41%
59,704,523,74.29%
60,717,534,74.48%
61,491,410,83.50%
Total,"38,689","29,122",75.27%
,,,
Ward 35,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,915,561,61.31%
2,657,403,61.34%
3,745,515,69.13%
4,685,511,74.60%
5,672,464,69.05%
6,884,487,55.09%
7,781,597,76.44%
8,627,445,70.97%
9,738,544,73.71%
10,700,517,73.86%
11,943,528,55.99%
12,745,577,77.45%
13,346,188,54.34%
14,804,592,73.63%
15,658,451,68.54%
16,716,565,78.91%
17,878,610,69.48%
18,904,598,66.15%
19,673,522,77.56%
20,809,520,64.28%
21,771,479,62.13%
22,225,187,83.11%
23,556,314,56.47%
24,512,313,61.13%
25,769,572,74.38%
26,891,598,67.12%
27,761,552,72.54%
28,864,638,73.84%
29,734,576,78.47%
30,838,659,78.64%
31,439,334,76.08%
32,424,286,67.45%
33,670,427,63.73%
34,749,503,67.16%
35,740,444,60.00%
36,574,429,74.74%
Total,"25,397","17,506",68.93%
,,,
Ward 36,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,540,389,72.04%
2,475,363,76.42%
3,646,547,84.67%
4,508,315,62.01%
5,464,307,66.16%
6,615,411,66.83%
7,425,302,71.06%
8,534,374,70.04%
9,533,382,71.67%
10,371,278,74.93%
11,633,442,69.83%
12,368,282,76.63%
13,615,498,80.98%
14,587,430,73.25%
15,657,401,61.04%
16,653,552,84.53%
17,454,330,72.69%
18,608,444,73.03%
19,748,484,64.71%
20,822,544,66.18%
21,898,631,70.27%
22,762,549,72.05%
23,223,185,82.96%
24,537,457,85.10%
25,391,279,71.36%
26,676,427,63.17%
27,303,204,67.33%
28,631,408,64.66%
29,478,347,72.59%
30,623,457,73.35%
31,597,400,67.00%
32,564,400,70.92%
33,354,307,86.72%
34,368,293,79.62%
35,590,437,74.07%
36,499,351,70.34%
37,593,368,62.06%
38,329,226,68.69%
39,543,378,69.61%
40,727,478,65.75%
41,524,355,67.75%
42,497,354,71.23%
43,493,330,66.94%
44,472,404,85.59%
45,468,386,82.48%
46,393,304,77.35%
47,389,266,68.38%
48,510,347,68.04%
49,660,512,77.58%
50,475,331,69.68%
51,534,432,80.90%
52,704,461,65.48%
53,358,268,74.86%
54,610,524,85.90%
55,631,501,79.40%
Total,"29,660","21,432",72.26%
,,,
Ward 37,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,596,339,56.88%
2,714,486,68.07%
3,611,372,60.88%
4,814,562,69.04%
5,751,553,73.64%
6,721,553,76.70%
7,809,600,74.17%
8,760,533,70.13%
9,693,507,73.16%
10,546,435,79.67%
11,347,227,65.42%
12,636,449,70.60%
